"eta","max_depth","max_delta_step","subsample","colsample_bytree","best_itr","best_mlogloss"
0.035716787870042,8,0,0.732909558620304,0.98750123789534,5,3.356537
0.0344300861051306,8,0,0.840134992366657,0.889568725635763,5,3.3652
0.0391711962339468,5,3,0.722715208563022,0.809090116729494,5,3.392832
0.0313844092772342,5,0,0.871706101803575,0.960033528620843,5,3.404649
0.0334459700179286,8,3,0.915242325044237,0.942783722032327,5,3.418803
0.0265697880485095,5,0,0.896611524056643,0.946783704631962,5,3.437169
0.0241614390700124,8,0,0.958299805819988,0.804037462593988,5,3.440846
0.0300268165394664,7,3,0.961722144295927,0.510436301170848,5,3.451059
0.0346640948648564,5,2,0.791418247732799,0.538345508256461,5,3.459931
0.0341680172970518,5,2,0.925674052205868,0.719224000484683,5,3.460862
0.0217027366394177,5,0,0.97939384376863,0.948946004961617,5,3.472545
0.0309631841513328,6,2,0.704888883964158,0.941778982216492,5,3.474921
0.01983636128949,8,0,0.900318993243854,0.75303717844421,5,3.476294
0.0191331761842594,8,0,0.934597270120867,0.690285107544623,5,3.483262
0.0210255484678783,5,0,0.812632040726021,0.663326693887357,5,3.48433
0.02387441881001,8,3,0.820592551173177,0.772035798423458,5,3.485495
0.0198792853648774,6,0,0.756143894835841,0.634905094292481,5,3.487467
0.0395706634968519,6,1,0.821559948439244,0.708988213746343,5,3.499551
0.0360492375562899,8,1,0.896976898142602,0.956049699601717,5,3.510692
0.0233501899708062,8,2,0.765827473760582,0.683079317575321,5,3.519087
0.0341984428092837,5,1,0.913240370051935,0.61598735071253,5,3.522352
0.0145708594750613,7,0,0.858520998270251,0.774278386805672,5,3.523126
0.0181493963650428,5,3,0.983913341825828,0.713031702630687,5,3.530869
0.0174807405448519,6,3,0.841859041922726,0.699102767582517,5,3.533491
0.0124577128072269,6,0,0.839379069909919,0.757386240614578,5,3.545311
0.0262210562429391,6,1,0.79722402907908,0.539380681810435,5,3.554046
0.0233679467393085,6,1,0.961331120578107,0.726050730298739,5,3.565017
0.0218362901685759,7,1,0.927187624641229,0.846057987310924,5,3.570208
0.0106222209287807,5,0,0.904946638492402,0.502750140407588,5,3.570523
0.0124225041270256,8,2,0.745590448041912,0.503625726192258,5,3.586092
0.0179265733179636,7,1,0.770217345219571,0.571451156195253,5,3.587849
0.0121072388021275,6,2,0.780120655070059,0.577249657502398,5,3.588232
0.0165426748641767,8,1,0.810503627620637,0.510283121783286,5,3.59364
0.0110701627843082,5,2,0.941206549073104,0.907025470098015,5,3.594173
0.0162942802789621,6,1,0.916000701209996,0.640182370473631,5,3.594533
0.0100996396224946,8,2,0.834579419051297,0.823992342823185,5,3.598794
